,machine_id,site_session_id,domain_id,ref_domain_name,pages_viewed,duration,event_date,event_time,tran_flg,prod_category_id,prod_name,prod_qty,prod_totprice,basket_tot,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code,domain_name,,Non-Product Domain Referrals,
1175263,75100081,3.69268E+12,6.21294E+18,new8reports.com,1,1,1/31/11,4:12:14,,,,,,,99,3,5,4,5,1,1,1,0,21842,homecashflowsolution.com,,teranova.ca,1
1180717,75109519,3.71682E+12,6.21294E+18,,3,1,1/23/11,22:18:23,,,,,,,99,4,5,5,6,1,3,1,0,98146,homecashflowsolution.com,,wigglesbooks.com,1
1258008,75338730,3.79051E+12,1.35832E+19,,6,1,1/27/11,22:59:35,,,,,,,99,4,3,10,7,0,1,1,0,97141,bizzopheaven.com,,idxjmp.com,1
1271657,75354753,3.65874E+12,6.21294E+18,cnbcwebsource20.com,3,1,1/30/11,1:43:04,,,,,,,99,2,2,9,4,1,1,1,0,48350,homecashflowsolution.com,,policeauctions.com,1
1277913,75359857,3.73091E+12,6.21294E+18,,4,2,1/23/11,1:32:46,,,,,,,99,3,5,10,5,1,5,1,0,35984,homecashflowsolution.com,,calhounisd.org,1
1278238,75359857,3.79545E+12,6.21294E+18,live.com,1,0,1/27/11,2:19:14,,,,,,,99,3,5,10,5,1,5,1,0,35984,homecashflowsolution.com,,cnbc1e.com,1
1279461,75363618,3.66067E+12,1.35832E+19,,5,0,1/30/11,18:17:26,,,,,,,99,4,5,11,5,1,1,1,0,98354,bizzopheaven.com,,hp.com,1
1281221,75434127,3.56959E+12,8.08727E+18,weeklyinform.com,1,1,1/7/11,19:50:54,,,,,,,99,3,2,10,5,1,1,1,0,28450,dermatalskincare.com,,liquidation.com,1
1350791,75646289,3.58562E+12,9.38955E+18,weather.com,1,1,1/7/11,22:31:55,,,,,,,99,2,2,11,4,0,1,1,0,49090,channel9newsreport.com,,freshdeals.com,1
1350790,75646289,3.58562E+12,1.13854E+19,channel9newsreport.com,1,1,1/7/11,22:31:57,,,,,,,99,2,2,11,4,0,1,1,0,49090,wikkit.org,,beecumphukenreesh.com,1
1373782,75764711,3.80095E+12,1.00939E+19,tradekey.com,4,0,1/14/11,4:53:49,,,,,,,99,3,3,3,1,1,2,1,0,35802,bigdeal.com,,dataentryinternational.com,1
